date,market,matchup,pick,price_taken,result
2026-08-06,pitcher_strikeouts,"Chicago White Sox@Boston Red Sox","Luis Castillo Under 4.5",-167,,not_tracked,,,-0.87,L,official_k
2026-08-06,pitcher_strikeouts,"Miami Marlins@Atlanta Braves","Janson Junk Over 3.5",-111,,not_tracked,,,0.92,L,official_k
2026-08-06,pitcher_strikeouts,"Minnesota Twins@Kansas City Royals","Michael Wacha Over 4.5",-125,,not_tracked,,,0.8,L,official_k
2026-08-07,pitcher_strikeouts,"Cincinnati Reds@Washington Nationals","Cade Cavalli Over 6.5",118,,not_tracked,,,1.58,W,official_k
2026-08-07,pitcher_strikeouts,"Athletics@Boston Red Sox","Payton Tolle Over 6.5",-132,,not_tracked,,,1,W,official_k
2026-08-07,pitcher_strikeouts,"Minnesota Twins@Milwaukee Brewers","Shane Drohan Under 5.5",-132,,not_tracked,,,-1,W,official_k
2026-08-07,pitcher_strikeouts,"Chicago Cubs@Kansas City Royals","Kevin Gausman Under 5.5",-142,,not_tracked,,,-0.77,W,official_k
2026-08-07,pitcher_strikeouts,"Baltimore Orioles@Texas Rangers","Nathan Eovaldi Over 7.5",112,,not_tracked,,,1.85,L,official_k
2026-08-07,pitcher_strikeouts,"Colorado Rockies@St. Louis Cardinals","Kyle Leahy Over 4.5",-113,,not_tracked,,,0.96,W,official_k
2026-08-07,pitcher_strikeouts,"Atlanta Braves@New York Yankees","Max Fried Over 5.5",125,,not_tracked,,,1.38,W,official_k
