date,pitcher,line,over_price,under_price,game,game_pk,role,expected_innings,bullpen_game,pitching_plan_reported,books,k_rate_season,recent_form_starts,recent_form_bf,bf_per_ip,recent_form_k_rate,recent_form_weight,opp_k_source,opp_lineup_k,opp_lineup_k_weighted,opp_lineup_k_resolved,opp_team_season_k,league_lineup_k,whiff_leverage,actual_k,ou_result,lean,lean_result,projection_raw,calibration_band,k_rate_used,opp_k_adjustment,calibration_bias,error_raw,abs_error_raw,error_corrected,abs_error_corrected,projection
8/5/2026,Sandy Alcantara,5.5,105,-125,,,,,,,,,,,,,,,,,,,,,5,U,0.45,,5.95,<6,,,,-0.95,0.95,-0.95,0.95,5.95
8/5/2026,Seth Lugo,4.5,126,-157,,,,,,,,,,,,,,,,,,,,,3,U,0.83,,3.67,<6,,,,-0.67,0.67,-0.67,0.67,3.67
8/5/2026,Taj Bradley,6.5,-106,-105,,,,,,,,,,,,,,,,,,,,,6,U,0.62,,5.88,<6,,,,0.12,0.12,0.12,0.12,5.88
8/5/2026,Walbert Ureña,4.5,-137,120,,,,,,,,,,,,,,,,,,,,,7,O,0.2,,4.7,<6,,,,2.3,2.3,2.3,2.3,4.7
8/5/2026,Zack Wheeler,7.5,-160,120,,,,,,,,,,,,,,,,,,,,,3,U,0,,7.5,>=7,,,,-4.5,4.5,-4.5,4.5,7.5
8/5/2026,Tanner Bibee,4.5,-114,-102,,,,,,,,,,,,,,,,,,,,,10,O,-0.8,L,3.7,<6,,,,6.3,6.3,6.3,6.3,3.7
8/5/2026,Christian Scott,5.5,127,-142,,,,,,,,,,,,,,,,,,,,,7,O,-1.14,L,4.36,<6,,,,2.64,2.64,2.64,2.64,4.36
8/5/2026,Jake Irvin,3.5,-122,106,,,,,,,,,,,,,,,,,,,,,3,U,0.82,L,4.32,<6,,,,-1.32,1.32,-1.32,1.32,4.32
8/5/2026,Andrew Painter,3.5,-164,130,,,,,,,,,,,,,,,,,,,,,4,O,-0.08,,3.42,<6,,,,0.58,0.58,0.58,0.58,3.42
8/5/2026,Andre Pallante,4.5,110,-125,,,,,,,,,,,,,,,,,,,,,4,U,0.49,,4.99,<6,,,,-0.99,0.99,-0.99,0.99,4.99
8/5/2026,Will Warren,4.5,100,-103,,,,,,,,,,,,,,,,,,,,,5,O,0.1,,4.6,<6,,,,0.4,0.4,0.4,0.4,4.6
8/5/2026,Sean Burke,5.5,-142,115,,,,,,,,,,,,,,,,,,,,,4,U,0.85,L,6.35,6-7,,,,-2.35,2.35,-2.35,2.35,6.35
8/5/2026,Sonny Gray,5.5,115,-136,,,,,,,,,,,,,,,,,,,,,8,O,-0.32,,5.18,<6,,,,2.82,2.82,2.82,2.82,5.18
8/5/2026,Bryce Elder,4.5,-120,112,,,,,,,,,,,,,,,,,,,,,3,U,0.48,,4.98,<6,,,,-1.98,1.98,-1.98,1.98,4.98
8/5/2026,Paul Skenes,6.5,-150,120,,,,,,,,,,,,,,,,,,,,,6,U, -   ,,6.5,6-7,,,,-0.5,0.5,-0.5,0.5,6.5
8/5/2026,Kyle Harrison,6.5,130,-154,,,,,,,,,,,,,,,,,,,,,10,O,-0.48,,6.02,6-7,,,,3.98,3.98,3.98,3.98,6.02
8/5/2026,Noah Cameron,4.5,-148,122,,,,,,,,,,,,,,,,,,,,,9,O,-0.21,,4.29,<6,,,,4.71,4.71,4.71,4.71,4.29
8/5/2026,Dean Kremer,4.5,-115,-109,,,,,,,,,,,,,,,,,,,,,2,U,-0.48,,4.02,<6,,,,-2.02,2.02,-2.02,2.02,4.02
8/5/2026,Casey Mize,4.5,102,-125,,,,,,,,,,,,,,,,,,,,,1,U,-0.49,,4.01,<6,,,,-3.01,3.01,-3.01,3.01,4.01
8/5/2026,Mitch Bratt,3.5,130,-156,,,,,,,,,,,,,,,,,,,,,9,O,-1.59,L,1.91,<6,,,,7.09,7.09,7.09,7.09,1.91
8/5/2026,Bryan Woo,6.5,116,-140,,,,,,,,,,,,,,,,,,,,,5,U,-0.95,W,5.55,<6,,,,-0.55,0.55,-0.55,0.55,5.55
8/5/2026,Drew Anderson,2.5,-179,140,,,,,,,,,,,,,,,,,,,,,0,U,1.02,L,3.52,<6,,,,-3.52,3.52,-3.52,3.52,3.52
8/6/2026,Framber Valdez,3.5,-120,115,,,,,,,,,,,,,,,,,,,,,5,O,0.56,,3.73,<6,,,,1.27,1.27,0.94,0.94,4.06
