date,gamePk,matchup,pick_team,opp_team,status,result,lab_score_published,model_prob,strength_prob_pick,run_prob_pick,pick_pitcher_score,opp_pitcher_score,pick_bullpen_risk,opp_bullpen_risk,assigned_bullpen_innings,pick_woba_15d,opp_woba_15d,pick_woba_30d,opp_woba_30d,pitch_gap,pitch_edge_supports
08/19/2026,822860,Washington Nationals @ Texas Rangers,Washington Nationals,Texas Rangers,watchlist,W,74,0.7212,0.0576,0.2424,71,58,66,75,3.7,0.3135,0.2869,0.3311,0.3004,13,TRUE
08/19/2026,824640,Chicago White Sox @ Chicago Cubs,Chicago Cubs,Chicago White Sox,watchlist,L,68,0.7205,0.9409,0.6303,75,63,79,100,3.5,0.3348,0.3412,0.339,0.3231,12,TRUE
08/19/2026,824318,Los Angeles Dodgers @ Colorado Rockies,Los Angeles Dodgers,Colorado Rockies,pass,W,64,0.7264,0.0472,0.6572,61,47,70,65,3.7,0.3094,0.3092,0.3204,0.3156,14,TRUE
08/19/2026,824155,Los Angeles Angels @ Houston Astros,Los Angeles Angels,Houston Astros,pass,L,62,0.7432,0.0136,,72,50,43,66,3.7,0.2661,0.2856,0.272,0.3288,22,TRUE
08/19/2026,824076,Athletics @ Kansas City Royals,Kansas City Royals,Athletics,pass,W,61,0.7111,0.9221,0.5434,57,44,50,64,3.4,0.2939,0.3104,0.2953,0.3058,13,TRUE
08/19/2026,824476,St. Louis Cardinals @ Cincinnati Reds,Cincinnati Reds,St. Louis Cardinals,pass,W,61,0.7377,0.9753,0.4112,80,55,73,86,3.4,0.2629,0.3184,0.2819,0.2969,25,TRUE
08/19/2026,823424,Miami Marlins @ Philadelphia Phillies,Miami Marlins,Philadelphia Phillies,pass,L,56,0.7202,0.0596,0.9034,69,54,94,75,2.5,0.3157,0.3392,0.315,0.3318,15,TRUE
08/19/2026,824801,New York Yankees @ Baltimore Orioles,New York Yankees,Baltimore Orioles,pass,W,55,0.7324,0.0352,0.8266,59,43,55,69,4,0.2888,0.3392,0.282,0.3189,16,TRUE
08/19/2026,823342,Detroit Tigers @ Pittsburgh Pirates,Pittsburgh Pirates,Detroit Tigers,pass,W,52,0.7306,0.9612,0.128,70,54,76,56,3.7,0.3092,0.3179,0.2918,0.3407,16,TRUE
08/19/2026,823748,Seattle Mariners @ Milwaukee Brewers,Seattle Mariners,Milwaukee Brewers,pass,W,51,0.6904,0.1193,0.9037,78,65,74,45,2.9,0.2965,0.3228,0.3045,0.3246,13,TRUE
08/19/2026,824722,Arizona Diamondbacks @ Boston Red Sox,Boston Red Sox,Arizona Diamondbacks,pass,L,49,0.5981,0.6962,0.6506,77,73,71,60,3.3,0.3623,0.3367,0.3453,0.3405,4,TRUE
08/19/2026,823664,Atlanta Braves @ Minnesota Twins,Atlanta Braves,Minnesota Twins,pass,L,36,0.5671,0.3658,0.4547,67,65,50,75,4.7,0.2924,0.3233,0.304,0.3084,2,FALSE
08/20/2026,822934,Toronto Blue Jays @ Tampa Bay Rays,Tampa Bay Rays,Toronto Blue Jays,value_watch,L,76,0.742,0.984,0.6702,69,46,81,71,4.3,0.3379,0.3144,0.326,0.3014,23,TRUE
08/20/2026,824395,San Francisco Giants @ Cleveland Guardians,Cleveland Guardians,San Francisco Giants,value_watch,W,75,0.7044,0.9087,0.5812,73,61,42,75,3,0.306,0.2646,0.2944,0.2898,12,TRUE
08/20/2026,824474,St. Louis Cardinals @ Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds,watchlist,W,74,0.7201,0.0597,0.3401,68,56,70,70,3.5,0.328,0.2713,0.3038,0.2887,12,TRUE
08/20/2026,824153,Los Angeles Angels @ Houston Astros,Houston Astros,Los Angeles Angels,watchlist,L,74,0.7378,0.9755,,73,35,77,41,3.3,0.274,0.2612,0.3226,0.2707,38,TRUE
08/20/2026,824074,Athletics @ Kansas City Royals,Kansas City Royals,Athletics,watchlist,W,67,0.7096,0.9191,0.3604,68,56,56,80,3.7,0.3075,0.3113,0.3039,0.301,12,TRUE
08/20/2026,824802,New York Yankees @ Baltimore Orioles,New York Yankees,Baltimore Orioles,pass,W,43,0.7005,0.0989,0.7733,75,64,87,64,3.2,0.2895,0.3378,0.2793,0.3135,11,TRUE
08/20/2026,822861,Washington Nationals @ Texas Rangers,Texas Rangers,Washington Nationals,pass,W,34,0.6203,0.7407,0.3715,70,63,72,52,3.8,0.2729,0.3257,0.2945,0.3292,7,TRUE
08/20/2026,823747,Seattle Mariners @ Milwaukee Brewers,Seattle Mariners,Milwaukee Brewers,pass,L,33,0.5526,0.3947,0.7384,65,61,73,82,3.1,0.3008,0.3225,0.2993,0.322,4,TRUE
08/20/2026,824589,Atlanta Braves @ Chicago White Sox,Chicago White Sox,Atlanta Braves,pass,L,31,0.507,0.5141,0.7483,62,62,98,60,4,0.3322,0.2871,0.312,0.3025,0,FALSE
08/21/2026,825045,Cincinnati Reds @ Arizona Diamondbacks,Arizona Diamondbacks,Cincinnati Reds,official_pick,W,87,0.7372,0.9743,0.8008,73,55,71,70,3,0.3327,0.273,0.3424,0.2887,18,TRUE
08/21/2026,824072,Detroit Tigers @ Kansas City Royals,Detroit Tigers,Kansas City Royals,watchlist,L,74,0.7281,0.0438,0.3351,80,65,54,68,3,0.3115,0.3112,0.3419,0.3037,15,TRUE
08/21/2026,823911,Pittsburgh Pirates @ Los Angeles Dodgers,Los Angeles Dodgers,Pittsburgh Pirates,watchlist,W,74,0.7445,0.9891,0.7466,81,59,71,70,2.4,0.31,0.3201,0.3234,0.2909,22,TRUE
08/21/2026,823420,St. Louis Cardinals @ Philadelphia Phillies,Philadelphia Phillies,St. Louis Cardinals,watchlist,W,73,0.7251,0.9502,,74,61,54,71,3.1,0.3478,0.3296,0.3298,0.3068,13,TRUE
08/21/2026,824152,Athletics @ Houston Astros,Athletics,Houston Astros,watchlist,L,72,0.7374,0.0252,0.5517,68,51,82,85,3.5,0.3186,0.2704,0.2986,0.3199,17,TRUE
08/21/2026,823830,Washington Nationals @ Miami Marlins,Washington Nationals,Miami Marlins,watchlist,L,69,0.7324,0.0352,0.2091,74,57,50,64,7.3,0.3081,0.3248,0.3203,0.3118,17,TRUE
08/21/2026,823262,Minnesota Twins @ San Diego Padres,San Diego Padres,Minnesota Twins,watchlist,W,67,0.6609,0.8218,0.6954,59,53,45,72,4,0.3448,0.3384,0.3356,0.3108,6,TRUE
08/21/2026,822857,Los Angeles Angels @ Texas Rangers,Los Angeles Angels,Texas Rangers,watchlist,L,66,0.702,0.096,,73,63,39,60,3.3,0.2892,0.2673,0.2778,0.2874,10,TRUE
08/21/2026,824721,San Francisco Giants @ Boston Red Sox,Boston Red Sox,San Francisco Giants,pass,W,64,0.5991,0.6982,0.7527,77,73,71,63,3.4,0.352,0.2658,0.3473,0.2923,4,TRUE
08/21/2026,824800,Tampa Bay Rays @ Baltimore Orioles,Baltimore Orioles,Tampa Bay Rays,pass,W,63,0.71,0.9199,0.8006,64,51,66,78,3.7,0.334,0.3434,0.3129,0.3201,13,TRUE
08/21/2026,824317,Cleveland Guardians @ Colorado Rockies,Cleveland Guardians,Colorado Rockies,pass,W,58,0.7137,0.0726,0.5541,62,51,64,70,4.2,0.3067,0.3139,0.2927,0.3138,11,TRUE
08/21/2026,823746,Atlanta Braves @ Milwaukee Brewers,Milwaukee Brewers,Atlanta Braves,pass,W,53,0.6215,0.743,0.6871,86,83,78,62,3,0.3227,0.2851,0.326,0.3031,3,FALSE
08/21/2026,824559,New York Mets @ Chicago White Sox,Chicago White Sox,New York Mets,pass,W,52,0.7094,0.9188,0.7331,75,63,94,46,3.5,0.3403,0.3417,0.3165,0.3209,12,TRUE
08/21/2026,823101,Chicago Cubs @ Seattle Mariners,Seattle Mariners,Chicago Cubs,pass,W,47,0.6778,0.8555,0.2105,74,64,84,68,3.4,0.2979,0.323,0.299,0.3325,10,TRUE
08/21/2026,823510,Toronto Blue Jays @ New York Yankees,New York Yankees,Toronto Blue Jays,pass,W,27,0.575,0.65,,84,82,72,51,3.3,0.2985,0.3196,0.2829,0.3046,2,FALSE
08/22/2026,825044,Cincinnati Reds @ Arizona Diamondbacks,Arizona Diamondbacks,Cincinnati Reds,official_pick,L,93,0.7419,0.9839,0.89,76,50,64,81,3.6,0.3492,0.2552,0.3351,0.2846,26,TRUE
08/22/2026,823261,Minnesota Twins @ San Diego Padres,San Diego Padres,Minnesota Twins,official_pick,W,78,0.7419,0.9839,0.8691,75,56,39,57,3.6,0.3444,0.3254,0.3356,0.3019,19,TRUE
08/22/2026,823831,Washington Nationals @ Miami Marlins,Miami Marlins,Washington Nationals,official_pick,W,75,0.7425,0.985,0.649,74,48,67,81,3.5,0.3276,0.297,0.3164,0.3107,26,TRUE
08/22/2026,823910,Pittsburgh Pirates @ Los Angeles Dodgers,Los Angeles Dodgers,Pittsburgh Pirates,watchlist,W,66,0.7446,0.9892,0.6169,82,61,68,70,3,0.3059,0.3221,0.3168,0.2982,21,TRUE
08/22/2026,823509,Toronto Blue Jays @ New York Yankees,Toronto Blue Jays,New York Yankees,watchlist,W,66,0.6951,0.1098,,82,70,70,60,3.1,0.3281,0.2909,0.3123,0.2824,12,TRUE
