date,gamePk,side,team,pitcher_id,pitcher_name,role_label,era,whip,ip,so,bb,gs,gp,k9,bb9,era_score,whip_score,kbb_score,sample_score,raw_score,expected_innings,role_share_over5,pitcher_score_role_over5,pitcher_score_published
8/18/2026,823667,home,Minnesota Twins,805673,Zebby Matthews,Traditional starter,5.28,1.34,92,78,30,17,17,7.63,2.93,47.5,60.4,48.9,67.2,54,5.7,1.14,55,53
8/18/2026,823341,away,Detroit Tigers,672456,Keider Montero,Traditional starter,3.31,1,133.33,89,30,21,27,6.01,2.02,79,91,47.9,70,74,5.7,1.14,77,79
8/18/2026,823341,home,Pittsburgh Pirates,677952,Braxton Ashcraft,Traditional starter,3.75,1.09,146.33,157,33,25,25,9.66,2.03,72,82.9,62.4,70,73,5.9,1.18,77,76
8/18/2026,823586,away,San Diego Padres,592662,Robbie Ray,Traditional starter,3.23,1.34,133.67,114,68,24,25,7.68,4.58,80.3,60.4,39.2,70,66,5.4,1.08,67,67
8/18/2026,823586,home,New York Mets,804267,Zac Thornton,Traditional starter,2.85,1.1,47.33,31,13,9,9,5.89,2.47,86.4,82,44.7,51.6,72,5.7,1.14,75,75
8/18/2026,822859,away,Washington Nationals,800600,Jackson Kent,Limited starter,6.75,2,4,6,5,1,1,13.5,11.25,24,20,22.5,36.4,25,4,0.8,30,30
8/18/2026,822859,home,Texas Rangers,615698,Cal Quantrill,Traditional starter,3.44,1.2,70.67,49,22,8,25,6.24,2.8,77,73,44.2,59.7,67,4.7,0.94,66,66
8/18/2026,824803,away,New York Yankees,607074,Carlos Rodón,Traditional starter,3.22,1.23,50.33,56,28,10,10,10.01,5.01,80.5,70.3,46,52.6,67,5.1,1.02,67,66
8/18/2026,824803,home,Baltimore Orioles,669358,Shane Baz,Traditional starter,3.95,1.34,143.67,130,48,25,25,8.14,3.01,68.8,60.4,50.5,70,63,5.8,1.16,65,64
8/18/2026,823749,away,Seattle Mariners,682243,Bryce Miller,Traditional starter,3.39,0.99,85,84,16,14,15,8.89,1.69,77.8,91.9,61.4,64.8,76,5.7,1.14,80,80
8/18/2026,823749,home,Milwaukee Brewers,690986,Kyle Harrison,Traditional starter,2.96,1.12,94.33,116,24,20,20,11.07,2.29,84.6,80.2,66.5,68,77,4.9,0.98,76,77
8/19/2026,822937,away,Toronto Blue Jays,453286,Max Scherzer,Limited starter,7.31,1.53,44.33,32,20,11,11,6.5,4.06,20,43.3,37.6,50.5,34,4,0.8,37,39
8/19/2026,822937,home,Tampa Bay Rays,656876,Drew Rasmussen,Traditional starter,2.77,0.91,133.33,137,24,24,24,9.25,1.62,87.7,92,63.3,70,81,5.6,1.12,85,81
8/19/2026,824394,away,San Francisco Giants,683363,Matt Wilkinson,Opener / bullpen game,0,0.5,2,0,0,1,1,0,0,92,92,36,35.7,72,2,0.4,59,53
8/19/2026,824394,home,Cleveland Guardians,800048,Parker Messick,Traditional starter,2.56,1.02,147.67,150,40,25,25,9.14,2.44,91,89.2,57.9,70,81,5.9,1.18,87,80
8/19/2026,823587,away,San Diego Padres,650633,Michael King,Traditional starter,3.38,1.17,149,128,58,26,26,7.73,3.5,77.9,75.7,45.9,70,70,5.7,1.14,73,70
8/19/2026,823587,home,New York Mets,476594,Robert Stock,Limited starter,5.4,1.68,16.67,19,11,4,4,10.26,5.94,45.6,29.8,41.4,40.8,40,4.2,0.84,42,40
8/19/2026,822860,away,Washington Nationals,676917,Cade Cavalli,Traditional starter,3.36,1.24,136.67,151,41,26,26,9.94,2.7,78.2,69.4,59.6,70,71,5.3,1.06,72,71
8/19/2026,822860,home,Texas Rangers,677958,Kumar Rocker,Traditional starter,4.5,1.4,116,106,47,21,23,8.22,3.65,60,55,47,70,58,4.9,0.98,58,58
8/19/2026,824640,away,Chicago White Sox,656794,Sean Newcomb,Opener / bullpen game,2.44,1.1,70,64,27,3,47,8.23,3.47,92,82,48.1,59.5,76,2.1,0.42,61,63
8/19/2026,824640,home,Chicago Cubs,605280,Clay Holmes,Traditional starter,2.49,1.11,68.67,50,23,12,12,6.55,3.01,92,81.1,44.1,59,75,5.5,1.1,78,75
8/19/2026,824318,away,Los Angeles Dodgers,808963,Roki Sasaki,Traditional starter,4.46,1.29,111,108,45,21,21,8.76,3.65,60.6,64.9,49.1,70,61,5.3,1.06,62,61
8/19/2026,824318,home,Colorado Rockies,607536,Kyle Freeland,Traditional starter,6.27,1.44,120.67,98,27,22,22,7.31,2.01,31.7,51.4,53.2,70,47,5.5,1.1,47,47
8/19/2026,824155,away,Los Angeles Angels,700712,Walbert Ureña,Traditional starter,2.67,1.25,107.67,102,57,20,22,8.53,4.76,89.3,68.5,41.5,70,72,5.3,1.06,73,72
8/19/2026,824155,home,Houston Astros,814490,Ethan Pecko,Role unknown,,,,,,,,,,,,,,,4.5,,,50
8/19/2026,824076,away,Athletics,605488,Jeffrey Springs,Traditional starter,6.17,1.48,108,88,44,22,22,7.33,3.67,33.3,47.8,43.3,70,44,4.9,0.98,44,44
8/19/2026,824076,home,Kansas City Royals,607625,Seth Lugo,Traditional starter,4.68,1.39,140.33,109,46,26,26,6.99,2.95,57.1,55.9,46.3,70,57,5.6,1.12,58,57
8/19/2026,824476,away,St. Louis Cardinals,669461,Matthew Liberatore,Traditional starter,4.93,1.45,122.33,120,44,25,25,8.83,3.24,53.1,50.5,51.9,70,55,4.9,0.98,55,55
8/19/2026,824476,home,Cincinnati Reds,695505,Chase Burns,Traditional starter,2.53,1.1,135,157,48,24,24,10.47,3.2,91.5,82,58.7,70,79,5.6,1.12,82,80
8/19/2026,823424,away,Miami Marlins,645261,Sandy Alcantara,Traditional starter,3.46,1.18,176.67,131,47,27,27,6.67,2.39,76.6,74.8,48.3,70,70,6.5,1.3,76,69
8/19/2026,823424,home,Philadelphia Phillies,605400,Aaron Nola,Traditional starter,5.15,1.42,136.33,145,46,26,26,9.57,3.04,49.6,53.2,56.1,70,55,5.2,1.04,55,54
8/19/2026,824801,away,New York Yankees,701542,Will Warren,Traditional starter,4.46,1.41,121,122,43,24,25,9.07,3.2,60.6,54.1,53.1,70,59,5,1,59,59
8/19/2026,824801,home,Baltimore Orioles,605135,Chris Bassitt,Traditional starter,5.29,1.67,64.67,41,26,12,14,5.71,3.62,47.4,30.7,37.1,57.6,43,4.5,0.9,44,43
8/19/2026,823342,away,Detroit Tigers,695549,Jackson Jobe,Traditional starter,4.5,1.36,14,11,5,3,3,7.07,3.21,60,58.6,45,39.9,54,4.7,0.94,54,54
