date,game_pk,game,pick_team,direction_winner,direction_correct,submodel_strength_right,submodel_run_right,starter_favored_team,starter_gap,starter_held_up,starter_favored_era,starter_other_era,away_team,away_proj_runs,away_actual_runs,away_offense_diff,home_team,home_proj_runs,home_actual_runs,home_offense_diff,away_bullpen_flagged,away_bullpen_actual_er,away_bullpen_actual_era,home_bullpen_flagged,home_bullpen_actual_er,home_bullpen_actual_era,matchup_url
2026-08-07,823191,Detroit Tigers @ San Francisco Giants,Detroit Tigers,San Francisco Giants,0,0,0,Detroit Tigers,13,1,7.5,9,Detroit Tigers,4.6,2,-2.6,San Francisco Giants,3,5,2,0,0,0,0,1,1.13,/mlb/tigers-vs-giants-prediction-odds-2026-08-07/
2026-08-07,824081,Chicago Cubs @ Kansas City Royals,Chicago Cubs,Chicago Cubs,1,1,,Kansas City Royals,9,0,21.6,2.57,Chicago Cubs,,,,Kansas City Royals,,,,1,2,9,0,2,2.45,/mlb/cubs-vs-royals-prediction-odds-2026-08-07/
2026-08-07,823428,Toronto Blue Jays @ Philadelphia Phillies,Philadelphia Phillies,Toronto Blue Jays,0,0,,Philadelphia Phillies,17,0,6.75,1.93,Toronto Blue Jays,,,,Philadelphia Phillies,,,,1,1,2.08,1,1,2.45,/mlb/blue-jays-vs-phillies-prediction-odds-2026-08-07/
2026-08-07,823349,New York Mets @ Pittsburgh Pirates,New York Mets,New York Mets,1,1,1,New York Mets,7,1,0,15,New York Mets,2.6,6,3.4,Pittsburgh Pirates,2.4,4,1.6,0,4,9,0,1,1.5,/mlb/mets-vs-pirates-prediction-odds-2026-08-07/
2026-08-07,824566,Cleveland Guardians @ Chicago White Sox,Chicago White Sox,Cleveland Guardians,0,0,1,Cleveland Guardians,34,1,2.57,54,Cleveland Guardians,4.9,8,3.1,Chicago White Sox,3.5,2,-1.5,1,0,0,1,6,6.23,/mlb/guardians-vs-white-sox-prediction-odds-2026-08-07/
2026-08-07,823024,Colorado Rockies @ St. Louis Cardinals,St. Louis Cardinals,St. Louis Cardinals,1,1,0,St. Louis Cardinals,18,1,3.6,5.06,Colorado Rockies,3.5,2,-1.5,St. Louis Cardinals,3,3,0,0,0,0,0,0,0,/mlb/rockies-vs-cardinals-prediction-odds-2026-08-07/
2026-08-07,823836,Los Angeles Angels @ Miami Marlins,Miami Marlins,Los Angeles Angels,0,0,,Los Angeles Angels,18,1,2.25,2.25,Los Angeles Angels,,,,Miami Marlins,,,,0,2,3.6,0,0,0,/mlb/angels-vs-marlins-prediction-odds-2026-08-07/
2026-08-07,822699,Cincinnati Reds @ Washington Nationals,Cincinnati Reds,Washington Nationals,0,0,0,Washington Nationals,12,1,4.5,10.8,Cincinnati Reds,4.2,3,-1.2,Washington Nationals,3.7,5,1.3,0,2,2.84,0,0,0,/mlb/reds-vs-nationals-prediction-odds-2026-08-07/
2026-08-07,825051,Los Angeles Dodgers @ Arizona Diamondbacks,Arizona Diamondbacks,Arizona Diamondbacks,1,1,1,Los Angeles Dodgers,9,0,3,1.59,Los Angeles Dodgers,5.1,3,-2.1,Arizona Diamondbacks,6.1,4,-2.1,1,2,7.71,0,2,5.4,/mlb/dodgers-vs-diamondbacks-prediction-odds-2026-08-07/
2026-08-07,823515,Atlanta Braves @ New York Yankees,New York Yankees,New York Yankees,1,1,0,New York Yankees,22,1,0,0,Atlanta Braves,4,2,,New York Yankees,2.2,3,,0,2,4.91,0,2,4.91,/mlb/braves-vs-yankees-prediction-odds-2026-08-07/
2026-08-07,823266,Houston Astros @ San Diego Padres,San Diego Padres,Houston Astros,0,0,1,San Diego Padres,28,0,7.2,5.79,Houston Astros,4.9,6,1.1,San Diego Padres,4.5,3,-1.5,0,0,0,1,2,4.5,/mlb/astros-vs-padres-prediction-odds-2026-08-07/
2026-08-07,823103,Tampa Bay Rays @ Seattle Mariners,Tampa Bay Rays,Tampa Bay Rays,1,1,1,No clear pitching-plan edge,1,0,2.7,0,Tampa Bay Rays,3.6,2,-1.6,Seattle Mariners,2.3,1,-1.3,1,1,4.5,0,0,0,/mlb/rays-vs-mariners-prediction-odds-2026-08-07/
2026-08-07,822863,Baltimore Orioles @ Texas Rangers,Baltimore Orioles,Texas Rangers,0,0,0,Texas Rangers,4,1,1.69,2.25,Baltimore Orioles,5.8,1,-4.8,Texas Rangers,4.4,2,-2.4,,,,1,0,0,/mlb/orioles-vs-rangers-prediction-odds-2026-08-07/
