date,gamePk,model_version,matchup,away_team,home_team,pick_team,status,winner,home_model_prob,home_pitcher_gap,home_pitcher,home_pitcher_score,away_pitcher,away_pitcher_score,home_era,away_era,home_woba,away_woba,home_bullpen_risk,away_bullpen_risk,home_strength_blend,away_strength_blend,home_woba_gap,home_bullpen_gap,home_pitcher_boost,home_pre_bullpen_odds,home_pre_bullpen_prob,home_bullpen_adj,home_money_line_odds,home_moneyline_prop
8/18/2026,824319,leo,Los Angeles Dodgers @ Colorado Rockies,Los Angeles Dodgers,Colorado Rockies,away team,pass,,0.2779,-13,Ryan Feltner,46,Eric Lauer,59,4.97,5.09,0.3183,0.3083,68,63,0.6212,0.4464,0.01,-5,0.1423,0.0599,0.0565,-0.015,0.3848,0.2779
8/18/2026,824639,leo,Chicago White Sox @ Chicago Cubs,Chicago White Sox,Chicago Cubs,home team,pass,,0.6312,4,Kevin Gausman,63,Bryan Hudson,59,3.7,4.57,0.3557,0.3426,77,94,0.578,0.5346,0.0131,17,1.8221,3.0486,0.753,0.051,1.7115,0.6312
8/18/2026,823667,leo,Atlanta Braves @ Minnesota Twins,Atlanta Braves,Minnesota Twins,away team,pass,,0.3288,-7,Zebby Matthews,53,Tyler Mahle,60,4.32,4.06,0.3213,0.2984,80,53,0.5365,0.4513,0.0229,-27,0.3499,0.2028,0.1686,-0.081,0.4899,0.3288
8/18/2026,823341,leo,Detroit Tigers @ Pittsburgh Pirates,Detroit Tigers,Pittsburgh Pirates,away team,pass,,0.4103,-3,Braxton Ashcraft,76,Keider Montero,79,3.54,3.54,0.3021,0.326,98,63,0.5565,0.4885,-0.0239,-35,0.6376,0.5242,0.3439,-0.105,0.6958,0.4103
8/18/2026,823586,leo,San Diego Padres @ New York Mets,San Diego Padres,New York Mets,home team,pass,,0.6703,8,Zac Thornton,75,Robbie Ray,67,3.49,3.99,0.3506,0.335,58,53,0.5193,0.5416,0.0156,-5,3.3201,5.3532,0.8426,-0.015,2.0331,0.6703
8/18/2026,822859,leo,Washington Nationals @ Texas Rangers,Washington Nationals,Texas Rangers,home team,pass,,0.7385,36,Cal Quantrill,66,Jackson Kent,30,4.53,4.47,0.2784,0.3187,88,66,0.4537,0.5062,-0.0403,-22,20.0855,45.2963,0.9784,-0.066,2.8241,0.7385
8/18/2026,824803,leo,New York Yankees @ Baltimore Orioles,New York Yankees,Baltimore Orioles,away team,pass,,0.4355,-2,Shane Baz,64,Carlos Rodón,66,3.71,3.74,0.3431,0.2946,74,51,0.5705,0.4854,0.0485,-23,0.7408,0.6321,0.3873,-0.069,0.7715,0.4355
8/18/2026,823749,leo,Seattle Mariners @ Milwaukee Brewers,Seattle Mariners,Milwaukee Brewers,away team,pass,,0.4781,-3,Kyle Harrison,77,Bryce Miller,80,2.74,5.08,0.2954,0.2977,49,71,0.4234,0.5887,-0.0023,22,0.6376,0.7854,0.4399,0.066,0.9161,0.4781
8/19/2026,822937,leo,Toronto Blue Jays @ Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays,home team,official_pick,,0.7427,42,Drew Rasmussen,81,Max Scherzer,39,3.46,4.42,0.3527,0.3009,88,74,0.5647,0.5198,0.0518,-14,20.0855,70.9424,0.9861,-0.042,2.8865,0.7427
8/19/2026,824394,leo,San Francisco Giants @ Cleveland Guardians,San Francisco Giants,Cleveland Guardians,home team,value_watch,,0.7392,27,Parker Messick,80,Matt Wilkinson,53,3.68,4.96,0.3133,0.2691,51,59,0.4483,0.3932,0.0442,8,20.0855,44.4545,0.978,0.024,2.8344,0.7392
