date,gamePk,matchup,pick_team,opp_team,status,result,lab_score_published,model_prob,strength_prob_pick,run_prob_pick,pick_pitcher_score,opp_pitcher_score,pick_bullpen_risk,opp_bullpen_risk,assigned_bullpen_innings,pick_woba_15d,opp_woba_15d,pick_woba_30d,opp_woba_30d,pitch_gap,pitch_edge_supports
2026-08-26,824234,Tampa Bay Rays @ Detroit Tigers,Detroit Tigers,Tampa Bay Rays,watchlist,,65,0.7231,0.9463,0.7458,79,51,76,68,3,0.2886,0.3208,0.3335,0.3152,28,TRUE
2026-08-26,824878,Los Angeles Dodgers @ Atlanta Braves,Los Angeles Dodgers,Atlanta Braves,pass,,61,0.7209,0.9417,0.5741,61,34,43,44,3.7,0.3098,0.2726,0.3136,0.2965,27,TRUE
2026-08-26,822772,Kansas City Royals @ Toronto Blue Jays,Toronto Blue Jays,Kansas City Royals,pass,,60,0.6705,0.8409,0.4446,77,65,54,63,6,0.3279,0.3345,0.3083,0.3195,12,TRUE
2026-08-26,823506,Houston Astros @ New York Yankees,Houston Astros,New York Yankees,pass,,58,0.7177,0.9353,0.3461,68,39,78,61,3.4,0.2938,0.3079,0.3217,0.294,29,TRUE
2026-08-26,823255,Pittsburgh Pirates @ San Diego Padres,San Diego Padres,Pittsburgh Pirates,pass,,53,0.5724,0.6448,0.8252,61,58,66,92,3.9,0.3339,0.2852,0.3315,0.2874,3,FALSE
2026-08-26,824963,Minnesota Twins @ Athletics,Athletics,Minnesota Twins,pass,,53,0.6671,0.8343,0.5996,67,52,86,59,3.6,0.3313,0.3124,0.3069,0.3118,15,TRUE
2026-08-26,823096,Philadelphia Phillies @ Seattle Mariners,Philadelphia Phillies,Seattle Mariners,pass,,49,0.5821,0.6642,,75,70,45,65,3,0.3349,0.3215,0.332,0.306,5,TRUE
2026-08-26,823584,Milwaukee Brewers @ New York Mets,Milwaukee Brewers,New York Mets,pass,,45,0.7235,0.947,0.559,60,40,67,58,3.8,0.3234,0.3197,0.315,0.3305,20,TRUE
2026-08-26,825039,Chicago Cubs @ Arizona Diamondbacks,Arizona Diamondbacks,Chicago Cubs,pass,,44,0.6716,0.8431,0.5136,74,63,65,65,3,0.335,0.3548,0.3257,0.3484,11,TRUE
2026-08-26,822692,Colorado Rockies @ Washington Nationals,Colorado Rockies,Washington Nationals,pass,,43,0.7092,0.9183,0.3379,48,34,71,64,4.3,0.2983,0.2887,0.3164,0.2999,14,TRUE
